title,price,کاربری,کشور برند,ابعاد (میلیمتر),وزن (کیلوگرم),جنس بدنه,شرکت سازنده پردازنده,نوع سری پردازنده,نسل پردازنده,سری پردازنده,مدل,فرکانس پایه,فرکانس افزایشی,حافظه کش,تعداد هسته,تعداد رشته,فناوری ساخت پردازنده,معماری ساخت,مصرف برق پردازنده,مقدار حافظه رم,نوع رم,باس رم,تعداد اسلات رم,قابلیت ارتقاء رم,نوع حافظه,ظرفیت SSD,نوع اتصال SSD,تعداد اسلات SSD,شرکت سازنده گرافیک,نوع گرافیک,مدل گرافیک,حجم گرافیک,رم گرافیک,رابط حافظه,توان گرافیک,توان افزایشی,DirectX,PCIe,سایز صفحه نمایش (اینچ),پنل تصویر,نوع نمایش تصویر,وضوح تصویر,رزولوشن,نرخ تصویر,نسبت تصویر,Adobe RGB,sRGB,Type-C,USB 3.2,ظرفیت و نوع,جنس باطری,میزان شارژ دهی,توان آداپتور,نوع نمایش نور کیبورد,تعداد اسپیکر,نوع اسپیکر,تعداد فن,محتویات جعبه
لپ تاپ ایسوس FX517ZR | 16GB RAM | 512GB SSD | i7 | 8GB VGA ا ASUS TUF Dash F15 FX517ZR,از ۵۹٫۳۰۰٫۰۰۰ تومان,"برنامه نویسی, تدوین, طراحی, گیمینگ",تایوان,354x251x20.7,2.0,فلز، پلاستیک,Intel,Alder Lake,نسل 12,Core i7,12650H,2.3GHz,4.7GHz,24MB,10,16,10 نانومتری,x86,45 وات,16GB,DDR5,4800MHz,2,Up to 32GB,SSD,512GB,PCIe NVMe,2,NVIDIA,GeForce,RTX 3070,8GB,GDDR6,256Bit,80 وات,105 وات,DirectX 12,4.0,15.6,IPS,Wide View,Full HD,1920x1080,144Hz,16:9,47.34%,62.5%,"(DisplayPort), (Power Delivery), (Thunderbolt 4), 2",2,4Cell 76WHr,لیتیوم یون,2 الی 3 ساعت,200 وات,White Backlit,2 عدد,Dolby Atmos,2,"دفترچه راهنما, شارژر, کابل شارژر, کیف, ماوس"
لپ تاپ لنوو IdeaPad Gaming 3 | 16GB RAM | 512GB SSD | i5 | 4GB VGA ا Lenovo IdeaPad Gaming 3,از ۲۷٫۳۰۰٫۰۰۰ تومان,"برنامه نویسی, طراحی, گیمینگ, مالتی مدیا",چین,359.6x266.4x21.8,2.3,پلاستیک,Intel,Alder Lake-P,نسل 12,Core i5,12450H,2.0GHz,4.4GHz,12MB,8,12,10 نانومتری,x86,45 وات,16GB,DDR4,3200MHz,2,Up to 32GB,SSD,512GB,PCIe NVMe,2,NVIDIA,GeForce,RTX 3050,4GB,GDDR6,128Bit,85 وات,,DirectX 12,4.0,15.6,IPS,,Full HD,1920x1080,120Hz,16:9,,,"(DisplayPort), (Power Delivery), (Thunderbolt 4), 1",2,3Cell 45WHr,لیتیوم پلیمر,1 الی 2 ساعت,170 وات,4Zone RGB,2 عدد,Nahimic Audio,2,"دفترچه راهنما, شارژر, کابل شارژر"
لپ تاپ لنوو IdeaPad 3 | 4GB RAM | 1TB HDD | 128GB SSD | N4020 ا Lenovo IdeaPad 3 Laptop,از ۸٫۶۱۰٫۰۰۰ تومان,,,362.2×253.4×19.9,1.7,,,,,Celeron,600,1.1GHz,2.8GHz,4MB,2,4,,,,,DDR4,,,ندارد,HDD-SSD,,,,,UHD,,,,,,,,,15.6,TN,,FULL HD,1080 × 1920,60Hz,,,,,,2Cell 35WHr,,,,,,,,
لپ تاپ لنوو Ideapad 3 | 12GB RAM | 256GB SSD | 1TB HDD | i3 ا Lenovo Ideapad 3,از ۱۶٫۲۰۰٫۰۰۰ تومان,,,,,پلاستیک,,,11,Core i3,,,,,2,,,,,,,2666 مگاهرتز,,,,,,,,,,,,,,,,,,,,1920x1080 پیکسل - Full HD,,,16:9,,,,,,,,,,,,,
لپ تاپ لنوو  IdeaPad Gaming 3  | 16GB RAM | 512GB SSD | i7 | 4GB VGA ا Lenovo IdeaPad Gaming 3,از ۴۲٫۵۰۰٫۰۰۰ تومان,"برنامه نویسی, تدوین, دانشجویی, طراحی, گیمینگ, مالتی مدیا",چین,359.6x266.4x21.8,2.3,پلاستیک,Intel,Alder Lake-P,نسل 12,Core i7,12650H,2.3GHz,4.7GHz,24MB,10,16,10 نانومتری,x86,45 وات,16GB,DDR4,3200MHz,2,Up to 32GB,SSD,512GB,PCIe NVMe,2,NVIDIA,GeForce,RTX 3050 Ti,4GB,GDDR6,128Bit,85 وات,,DirectX 12,3.0,15.6,IPS,,Full HD,1920x1080,165Hz,16:9,,100%,"(DisplayPort), (Power Delivery), (Thunderbolt 4), 1",2,3Cell 45WHr,لیتیوم پلیمر,1 الی 2 ساعت,170 وات,Backlit,2 عدد,Nahimic Audio,2,"دفترچه راهنما, شارژر, کابل شارژر"
لپ تاپ مایکروسافت Surface Go | 8GB RAM | 256GB SSD | i5 ا Laptop Microsoft Surface Go,از ۲۲٫۷۰۰٫۰۰۰ تومان,,,,,آلومینیوم آنودایز شده با خنک کننده کامپوزیت کربن بدون فن,,,سری 10,corei5,,,,6 مگابایت,چهار هسته ای,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3:2,,,,,,,,,,,Omnisonic Speakers with Dolby,,
لپ تاپ ایسوس FX506LH | 8GB RAM | 512GB SSD | i5 | 4GB VGA ا Laptop Asus FX506LH,از ۳۲٫۵۰۰٫۰۰۰ تومان,"تدوین, دانشجویی, طراحی, گیمینگ, مالتی مدیا",تایوان,359x256x24.7,2.3,پلاستیک,Intel,Comet Lake,نسل 10,Core i5,10300H,2.5GHz,4.5GHz,8MB,4,8,14 نانومتری,x86,45 وات,8GB,DDR4,3200MHz,2,Up to 32GB,SSD,512GB,PCIe NVMe,1,NVIDIA,GeForce,GTX 1650,4GB,GDDR6,128Bit,,50 وات,DirectX 12,4.0,15.6,IPS,Wide View,Full HD,1920x1080,144Hz,16:9,47.1%,62.5%,"(DisplayPort), 1",2,3Cell 48WHrs,لیتیوم یون,1 الی 2 ساعت,150 وات,Backlit Chiclet Keyboard 1-Zone RGB,2 عدد,Built-in array microphone,2,"دفترچه راهنما, شارژر, کابل شارژر"
لپ تاپ لنوو  Ideapad 3  | 4GB RAM | 1TB HDD | N4020 hd ا LENOVO IDEAPAD 3,از ۸٫۴۵۰٫۰۰۰ تومان,,,362.2×253.4×19.9,1.7,,,,,Celeron,600,1.1GHz,2.8GHz,4MB,2,2,,,,,DDR4,2400MHz,,ندارد,,,,,,UHD,,UP TO 2GB,,,,,,,15.6,TN,,HD,768 × 1366,60Hz,,,,,,2Cell 35WHr,,,,,,,,
لپ تاپ اچ‌ پی Victus 15 | 8GB RAM | 512GB SSD | i5 12500H | VGA 3050 4GB ا HP Victus15,از ۳۴٫۳۰۰٫۰۰۰ تومان,,,,,,,,,Core i5,Victus 15-FA0031DX-Z,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,(1080 × 1920) پیکسل,,,,,,,,,1 تا 2 ساعت,,,,,2 عدد,
مک بوک ایر 8GB RAM | 256GB SSD | M1 | MGN63 ا Macbook Air MGN63,از ۴۴٫۰۰۰٫۰۰۰ تومان,,,,,,,,,M1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
لپ تاپ ایسوس  FX506HC | 8GB RAM | 512GB SSD | i5 | 4GB VGA ا ASUS TUF Gaming FX506HC,از ۳۶٫۹۰۰٫۰۰۰ تومان,,,24.5×256×359,,,,,,11400H,,,,12 مگابایت,6 هسته حقیقی + 12 هسته مجازی,,10 نانومتری,x86,45 وات,,,,2 عدد,,SSD,,PCIe NVMe,2 عدد,,GeForce,,,,,,,DirectX 12,,,IPS,,Full HD,1080x1920,144 هرتز,16:9,,,,,,,,200 وات,Backlit Chiclet Keyboard Per-Key RGB,2 عدد,Built-in array microphone,,
لپ تاپ ایسوس مدل X515EP | 8GB RAM | 512GB SSD | I5 |2GB VGA ا Asus Laptop X515EP,از ۲۵٫۷۰۰٫۰۰۰ تومان,"اداری, برنامه نویسی, حسابداری, دانشجویی, روزمره, مالتی مدیا, وب گردی",تایوان,360x235x19.9,1.8,پلاستیک,Intel,Tiger Lake,نسل 11,Core i5,1135G7,2.4GHz,4.2GHz,8MB,4,8,10 نانومتری,x86,28 وات,8GB,DDR4,3200MHz,1,Up to 12GB,SSD,512GB,PCIe NVMe,1,NVIDIA,GeForce,MX330,2GB,GDDR5,64Bit,,,DirectX 12,3.0,15.6,IPS,Wide View,Full HD,1920x1080,60Hz,16:9,,,1,1,2Cell 37WHrs,لیتیوم یون,1 الی 2 ساعت,45 وات,,2 عدد,SonicMaster,1,"دفترچه راهنما, شارژر, کابل شارژر"
لپ تاپ ایسوس 16GB RAM | 1TB SSD | i7 | 6GB  F15 FX507ZM ا Laptop Asus TUF Gaming F15 FX507ZM,از ۵۷٫۳۵۰٫۰۰۰ تومان,,,,,,,,,Core i7,,,,,14 هسته حقیقی,,,,,,,4800 مگاهرتز,2,,,,,,,,,,,,,,,,,,,1920x1080 پیکسل - Full HD,,,,,,,,,,,,,,,,
لپ تاپ لنوو Ideapad 3 | 4GB RAM | 1TB HDD | I3 1115G4 ا Lenovo Ideapad 3,از ۱۴٫۵۰۰٫۰۰۰ تومان,,,,,,,,,Core i3,,,,,,,,,,,,,,,SSD M.2 NVMe,,,,,,,,,,,,,,,,,,,,16:9,,,,,,,,,,,,,
لپ تاپ اچ پی Victus 16 | 16GB RAM | 512GB SSD | i7 11800H | VGA 3050TI 4GB ا Laptop HP Victus 16,از ۳۸٫۰۰۰٫۰۰۰ تومان,"برنامه نویسی, تدوین, دانشجویی, طراحی, گیمینگ, مالتی مدیا",آمریکا,370x260x23.5,2.4,پلاستیک,Intel,Tiger Lake,نسل 11,Core i7,11800H,2.3GHz,4.6GHz,24MB,8,16,10 نانومتری,x86,45 وات,16GB,DDR4,3200MHz,2,Up to 32GB,SSD,512GB,PCIe NVMe,1,NVIDIA,GeForce,RTX 3050,4GB,GDDR6,128Bit,,,DirectX 12,4.0,16.1,IPS,,Full HD,1920x1080,144Hz,16:9,,100%,"(DisplayPort), (Power Delivery), 1",,4Cell 70WHr,لیتیوم پلیمر,1 الی 3 ساعت,200 وات,White Backlit,2 عدد,B&O speakers,2,"دفترچه راهنما, شارژر, کابل شارژر"
لپ تاپ ایسوس X543MA | 4GB | 1TB HDD | N4000 ا Asus X543MA,از ۱۲٫۲۵۰٫۰۰۰ تومان,,,,,,,,,Celeron,,,,4 مگابایت,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
مک بوک پرو ۱۴ اینچ M2 پرو ۲۰۲۳ مدل MPHE3LL- 512GB ا Apple Macbook Pro 2023 M2 pro-MPHE3LL,از ۹۹٫۰۰۰٫۰۰۰ تومان,,,,,آلومینیوم,,,,Apple M2,,,,,پردازنده 10 هسته ای,,,,,,,4266 مگاهرتز,,,,,,,,,,,,,,,,,,,,1964×3024 پیکسل,,,,,,,,,,,,تک رنگ حساس به نور محیط,,,,
